country,search_keyword,title,company,location,salary_min,salary_max,contract_type,created,description,url,skill_python,skill_sql,skill_power_bi,skill_excel,skill_tableau,skill_spark,skill_airflow,skill_snowflake,skill_aws,skill_azure,skill_r,skill_sas
nl,business intelligence,BI Developer,Fortive Corporation,"Eindhoven, Noord-Brabant",,,,2026-04-30 06:50:16+00:00,"location: eindhoven (hybrid) employment type: full-time about the role we are looking for a passionate power bi developer who loves working with data, enjoys continuous improvement, and takes pride in delivering reliable, user-friendly reporting solutions. this role focuses on maintaining, supporting, and enhancing our well-established power bi environment, ensuring high data quality, great user experience, and smooth day-to-day operations. what you will do power bi ownership & daily operations…",https://www.adzuna.nl/details/5714277545?utm_medium=api&utm_source=6c368b7e,False,False,True,False,False,False,False,False,False,False,False,False
nl,business intelligence,BI Specialist,BNNVARA,"Hilversum, Noord-Holland",,,,2026-05-12 06:57:12+00:00,"bi specialist (36 uur p.w.) heb jij een scherp oog voor data n weet je complexe inzichten te vertalen naar heldere, bruikbare verhalen? krijg je energie van het bouwen van slimme dashboards n het adviseren van teams op strategisch niveau? dan zijn wij op zoek naar jou. dit ga je doen bnnvara zoekt een bi specialist die verder kijkt dan dashboards alleen. iemand die data vertaalt naar inzichten die teams helpen betere keuzes te maken; inhoudelijk, redactioneel en strategisch. je bent niet alleen…",https://www.adzuna.nl/details/5726496917?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,BI Consultant,6Gorilla's,"Utrecht, Provincie Utrecht",48000.0,63600.0,,2026-02-12 06:53:01+00:00,"wil jij als bi consultant écht impact maken met data? als onderdeel van tenzinger helpt 6gorilla’s organisaties op weg in hun transformatie naar datagedreven werken, met de missie grote maatschappelijke uitdagingen op te lossen met data & ai. bij 6gorilla’s zorg jij er dan ook voor dat data begrijpelijk, bruikbaar en toegankelijk wordt voor professionals in het maatschappelijk domein. met jouw slimme dashboards, analyses en advies help je onze klanten op weg in hun datagedreven transformatie. e…",https://www.adzuna.nl/details/5625759564?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,BI Consultant,Freshminds,"Leiden, Zuid-Holland",80000.0,140000.0,,2025-12-31 01:12:08+00:00," ben jij klaar om impact te maken binnen een groeiende en ambitieuze organisatie? krijg je energie van het omzetten van data in waardevolle inzichten en het bouwen van slimme dashboards? laat je graag data voor een organisatie werken om zo het verschil te maken? werk je graag aan uitdagende projecten waarbij je jouw analytische én technische vaardigheden volledig kunt benutten, zonder gedoe rond sales? dan zijn wij op zoek naar jou als onze nieuwe bi consultant! iemand met passie voor data en h…",https://www.adzuna.nl/details/5560547751?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,BI specialist,FYGI B.V.,"Zwolle, Overijssel",73200.0,73200.0,,2026-06-12 03:34:31+00:00,"countus groep is een accountants- en advieskantoor met 25 kantoren door heel nederland. achter die kantoren draait een it-landschap vol data, systemen en processen. klanten en interne afdelingen nemen dagelijks beslissingen op basis van die data. en die data moet kloppen, inzichtelijk zijn en op het juiste moment beschikbaar zijn. klinkt simpel, maar dat is het niet altijd. want data zit overal. in databases, in systemen die via api's met elkaar praten, in rapportages die nog handmatig worden s…",https://www.adzuna.nl/details/5760773490?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,Traineeship Business Analytics & Management,House of Bèta,"Rotterdam, Zuid-Holland",34836.0,37536.0,,2026-06-09 12:38:43+00:00,"–dutch speaking and writing proficiency is required– met jouw expertise verzorg jij straks het informatiemanagement, functioneel beheer en applicatiebeheer voor onze klanten en voorzie jij ze van de it-omgeving die ze helpt slimmer en efficiënter te werken. je ontwikkelt je vaardigheden op het gebied van data-analyse, procesoptimalisatie, business intelligence en management, en leert hoe je organisaties kunt ondersteunen in hun doelen door middel van slimme, datagestuurde keuzes. het traineeshi…",https://www.adzuna.nl/land/ad/5757081684?se=WvtNWa908RGeccqK7JssDw&utm_medium=api&utm_source=6c368b7e&v=8281BC56A6BFFD71EBDE84A9308E5ED11FCA248E,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,BI Consultant - Juniorfunctie,Jelling,"Sleeuwijk, Werkendam",,,,2025-11-25 11:56:23+00:00,"max € 3.000,- | leaseauto | heb jij een passie voor data, en werk jij graag met verschillende stakeholders/klanten? reageer dan snel en ga aan de slag als bi consultant. functieomschrijving wil je graag aan de slag met het bouwen van dashboards voor verschillende klanten? heb je een hbo bachelor in business it & management op zak en kun je niet wachten om aan de slag te gaan? dan hebben wij de perfecte vacature voor jou! wat ga je doen? je brengt je kennis van databases in de praktijk door rapp…",https://www.adzuna.nl/details/5512330148?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,BI specialist - juniorfunctie,Jelling,"Prinsenbeek, Breda",,,,2026-01-06 08:12:22+00:00,"max € 4.000,- bruto | 40 uur | zoek jij afwisseling in je werkzaamheden, en wil jij van grote waarde zijn voor de gehele it omgeving? reageer dan direct! functieomschrijving kom tot bloei als business intelligence expert bij deze gewilde werkgever in de omgeving van breda. in deze rol heb je een werkelijke impact op de toekomst van de organisatie. als bi specialist ben jij de ultieme adviseur voor interne klanten, waarbij je hun bi-behoeften feilloos doorgrondt, kansen signaleert en dashboards …",https://www.adzuna.nl/details/5569610081?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,BI Consultant - juniorfunctie,Jelling,"Zwijndrecht, Zuid-Holland",,,,2026-02-03 08:30:04+00:00,"€ 3.500,- | ben je op zoek naar een afwisselende baan en wil je een belangrijke bijdrage leveren aan de volledige it-omgeving? aarzel dan niet en reageer direct! functieomschrijving word een business intelligence-expert bij deze toffe werkgever in omgeving dordrecht! in deze rol maak jij echt het verschil voor het bedrijf. als bi-specialist ben je de adviseur voor je collega's. je snapt precies wat ze nodig hebben op het gebied van bi, ziet kansen en creëert dashboards die hen de touwtjes in ha…",https://www.adzuna.nl/details/5611537707?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,Senior BI Specialist,Jelling,"Agniesebuurt, Rotterdam",,,,2026-01-28 09:01:21+00:00,"max. € 4.500,- | ben jij op zoek naar wat anders en is deze vacature jou op het lijf geschreven? wacht niet en solliciteer meteen! functieomschrijving ben jij een ervaren bi specialist op zoek naar een nieuwe uitdaging binnen een toonaangevend bedrijf in de bouwsector? wij hebben de perfecte kans voor jou in de regio rotterdam! dit innovatieve bedrijf speelt een belangrijke rol in de huisvestingsmarkt en biedt een omgeving waarin je de vrijheid, verantwoordelijkheid en het eigenaarschap krijgt …",https://www.adzuna.nl/details/5602937435?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
